,number,value,datetime_start,datetime_complete,duration,params_AMZN_CTAS_beta_win,params_AMZN_CTAS_stop_loss,params_AMZN_CTAS_trade_freq,params_AMZN_CTAS_z_entry,params_AMZN_CTAS_z_exit,params_AMZN_CTAS_z_stop_scaler,params_AMZN_CTAS_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_CSGP_PYPL_beta_win,params_CSGP_PYPL_stop_loss,params_CSGP_PYPL_trade_freq,params_CSGP_PYPL_z_entry,params_CSGP_PYPL_z_exit,params_CSGP_PYPL_z_stop_scaler,params_CSGP_PYPL_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_DXCM_PYPL_beta_win,params_DXCM_PYPL_stop_loss,params_DXCM_PYPL_trade_freq,params_DXCM_PYPL_z_entry,params_DXCM_PYPL_z_exit,params_DXCM_PYPL_z_stop_scaler,params_DXCM_PYPL_z_win,params_ISRG_MRVL_beta_win,params_ISRG_MRVL_stop_loss,params_ISRG_MRVL_trade_freq,params_ISRG_MRVL_z_entry,params_ISRG_MRVL_z_exit,params_ISRG_MRVL_z_stop_scaler,params_ISRG_MRVL_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_MCHP_PYPL_beta_win,params_MCHP_PYPL_stop_loss,params_MCHP_PYPL_trade_freq,params_MCHP_PYPL_z_entry,params_MCHP_PYPL_z_exit,params_MCHP_PYPL_z_stop_scaler,params_MCHP_PYPL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-6.401008000421619,2025-06-14 19:50:12.275806,2025-06-14 19:50:14.817657,0 days 00:00:02.541851,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,0.5,3,COMPLETE
1,1,-0.12553195094700795,2025-06-14 19:50:14.910459,2025-06-14 19:50:17.466829,0 days 00:00:02.556370,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,0.3,3,COMPLETE
2,2,-1.5701914189116606,2025-06-14 19:50:17.518141,2025-06-14 19:50:24.847432,0 days 00:00:07.329291,652.0,0.001,4m,3.0,1.5,0.5,828.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,270,0.008,4m,1.0,1.5,0.5,50,920.0,0.003,3m,2.5,1.0,1.3,360.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,,,,,,,,572.0,0.008,4m,1.5,3.5,2.0,386.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,0.2,9,COMPLETE
3,3,-0.34052822282633427,2025-06-14 19:50:24.910386,2025-06-14 19:50:29.145755,0 days 00:00:04.235369,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,0.05,5,COMPLETE
4,4,1.7055626733625493,2025-06-14 19:50:29.209127,2025-06-14 19:50:33.309235,0 days 00:00:04.100108,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,0.2,5,COMPLETE
5,5,-4.240247220865628,2025-06-14 19:50:33.385771,2025-06-14 19:50:40.065837,0 days 00:00:06.680066,370.0,0.007,1m,2.0,1.0,1.4,490.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,430,0.001,4m,2.5,4.0,0.8,278,974.0,0.008,4m,3.0,4.0,1.8,922.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,,,,,,,,804.0,0.008,1m,2.5,3.5,0.6,550.0,,,,,,,,0.15000000000000002,8,COMPLETE
6,6,-0.6655681418967335,2025-06-14 19:50:40.160523,2025-06-14 19:50:43.381742,0 days 00:00:03.221219,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,0.45,4,COMPLETE
7,7,2.2516909604318274,2025-06-14 19:50:43.441064,2025-06-14 19:50:45.934736,0 days 00:00:02.493672,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,0.1,3,COMPLETE
8,8,-2.50511654461005,2025-06-14 19:50:46.002603,2025-06-14 19:50:51.776274,0 days 00:00:05.773671,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,338.0,0.005,2m,1.5,3.0,1.4,492.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,0.05,7,COMPLETE
9,9,-4.807283618560846,2025-06-14 19:50:51.850955,2025-06-14 19:50:59.675937,0 days 00:00:07.824982,552.0,0.003,1m,2.0,3.5,0.7,384.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,90,0.004,2m,4.0,1.5,0.9,844,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,0.45,10,COMPLETE
