,number,value,datetime_start,datetime_complete,duration,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_AMZN_ON_beta_win,params_AMZN_ON_stop_loss,params_AMZN_ON_trade_freq,params_AMZN_ON_z_entry,params_AMZN_ON_z_exit,params_AMZN_ON_z_stop_scaler,params_AMZN_ON_z_win,params_GFS_EXC_beta_win,params_GFS_EXC_stop_loss,params_GFS_EXC_trade_freq,params_GFS_EXC_z_entry,params_GFS_EXC_z_exit,params_GFS_EXC_z_stop_scaler,params_GFS_EXC_z_win,params_GOOGL_ON_beta_win,params_GOOGL_ON_stop_loss,params_GOOGL_ON_trade_freq,params_GOOGL_ON_z_entry,params_GOOGL_ON_z_exit,params_GOOGL_ON_z_stop_scaler,params_GOOGL_ON_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_GOOG_ON_beta_win,params_GOOG_ON_stop_loss,params_GOOG_ON_trade_freq,params_GOOG_ON_z_entry,params_GOOG_ON_z_exit,params_GOOG_ON_z_stop_scaler,params_GOOG_ON_z_win,params_NXPI_ANSS_beta_win,params_NXPI_ANSS_stop_loss,params_NXPI_ANSS_trade_freq,params_NXPI_ANSS_z_entry,params_NXPI_ANSS_z_exit,params_NXPI_ANSS_z_stop_scaler,params_NXPI_ANSS_z_win,params_WBD_ANSS_beta_win,params_WBD_ANSS_stop_loss,params_WBD_ANSS_trade_freq,params_WBD_ANSS_z_entry,params_WBD_ANSS_z_exit,params_WBD_ANSS_z_stop_scaler,params_WBD_ANSS_z_win,params_WDAY_ANSS_beta_win,params_WDAY_ANSS_stop_loss,params_WDAY_ANSS_trade_freq,params_WDAY_ANSS_z_entry,params_WDAY_ANSS_z_exit,params_WDAY_ANSS_z_stop_scaler,params_WDAY_ANSS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-2.0086870704549478,2025-06-14 20:08:58.661019,2025-06-14 20:09:01.628055,0 days 00:00:02.967036,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,0.5,3,COMPLETE
1,1,-1.1207820251666452,2025-06-14 20:09:01.716888,2025-06-14 20:09:04.595290,0 days 00:00:02.878402,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,0.3,3,COMPLETE
2,2,-7.443078780509168,2025-06-14 20:09:04.664891,2025-06-14 20:09:12.750520,0 days 00:00:08.085629,,,,,,,,270,0.008,4m,1.0,1.5,0.5,50,978.0,0.007,3m,1.5,4.0,0.7,698.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,0.2,9,COMPLETE
3,3,-3.720784509598702,2025-06-14 20:09:12.859248,2025-06-14 20:09:19.344781,0 days 00:00:06.485533,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,0.05,5,COMPLETE
4,4,0.6309795537325003,2025-06-14 20:09:19.466635,2025-06-14 20:09:31.838519,0 days 00:00:12.371884,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,0.2,5,COMPLETE
5,5,-3.4385183271910558,2025-06-14 20:09:31.987817,2025-06-14 20:09:47.440948,0 days 00:00:15.453131,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,218.0,0.004,2m,1.5,3.0,1.6,72.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,,,,,,,,804.0,0.008,1m,2.5,3.5,0.6,550.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,0.15000000000000002,8,COMPLETE
6,6,-1.919614849838613,2025-06-14 20:09:47.549603,2025-06-14 20:09:51.297065,0 days 00:00:03.747462,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,0.45,4,COMPLETE
7,7,-2.156665128513546,2025-06-14 20:09:51.401345,2025-06-14 20:09:54.296788,0 days 00:00:02.895443,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,0.1,3,COMPLETE
8,8,-2.9226288851585576,2025-06-14 20:09:54.379208,2025-06-14 20:10:00.818879,0 days 00:00:06.439671,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,172.0,0.001,2m,2.5,4.0,1.8,892.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,0.05,7,COMPLETE
9,9,-5.935705551638383,2025-06-14 20:10:00.925130,2025-06-14 20:10:09.651242,0 days 00:00:08.726112,432.0,0.007,4m,4.0,1.5,0.9,224.0,90,0.004,2m,4.0,1.5,0.9,844,698.0,0.01,4m,2.5,3.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,0.45,10,COMPLETE
